Страна,Всего игр,Побед,Ничей,Поражений,Забито - пропущено мячей
Бразилия,104,70,17,17,221 - 102
Германия / ФРГ,106,66,20,20,224 - 121
Италия,83,45,21,17,128 - 77
Аргентина,77,42,14,21,131 - 84
Англия,62,26,20,16,79 - 56
Испания,59,29,12,18,92 - 66
Франция,59,28,12,19,106 - 71
Голландия,50,27,12,11,86 - 48
Уругвай,51,20,12,19,80 - 71
Швеция,46,16,13,17,74 - 69
Россия / СССР,40,17,8,15,66 - 47
Сербия / Югославия    ,43,17,8,18,64 - 59
Мексика,53,14,14,25,57 - 92
Бельгия,41,14,9,18,52 - 66
Польша,31,15,5,11,44 - 40
Венгрия,32,15,3,14,87 - 57
Португалия,26,13,4,9,43 - 29
Чехия / Чехословакия,33,12,5,16,47 - 49
Чили,33,11,7,15,40 - 49
Австрия,29,12,4,13,43 - 47
Швейцария,33,11,6,16,45 - 59
Парагвай,27,7,10,10,30 - 38
США,33,8,6,19,37 - 62
Румыния,21,8,5,8,30 - 32
Южная Корея,31,5,9,17,31 - 67
Дания,16,8,2,6,27 - 24
Хорватия,16,7,2,7,21 - 17
Колумбия,18,7,2,9,26 - 27
Шотландия,23,4,7,12,25 - 41
Камерун,23,4,7,12,18 - 43
Коста-Рика,15,5,4,6,17 - 23
Болгария,26,3,8,15,22 - 53
